running CH on OSM 1
Preprocessing complete. 381 shortcuts added.
Upward Edge from 212 to 269 (ID: 1241, Cost: 2)
Upward Edge from 213 to 246 (ID: 512, Cost: 1)
Upward Edge from 213 to 187 (ID: 443, Cost: 1)
Upward Edge from 214 to 168 (ID: 1196, Cost: 2)
Upward Edge from 214 to 212 (ID: 511, Cost: 1)
Upward Edge from 215 to 122 (ID: 1619, Cost: 4)
Upward Edge from 215 to 212 (ID: 1617, Cost: 5)
Upward Edge from 215 to 219 (ID: 1243, Cost: 2)
Upward Edge from 216 to 170 (ID: 1626, Cost: 2)
Upward Edge from 216 to 197 (ID: 1513, Cost: 3)
Upward Edge from 217 to 249 (ID: 522, Cost: 1)
Upward Edge from 217 to 191 (ID: 451, Cost: 1)
Upward Edge from 218 to 170 (ID: 1200, Cost: 2)
Upward Edge from 218 to 251 (ID: 524, Cost: 1)
Upward Edge from 219 to 212 (ID: 1707, Cost: 7)
Upward Edge from 219 to 147 (ID: 1497, Cost: 3)
Upward Edge from 219 to 122 (ID: 1705, Cost: 6)
Upward Edge from 219 to 252 (ID: 526, Cost: 1)
Upward Edge from 220 to 276 (ID: 1247, Cost: 2)
Upward Edge from 220 to 172 (ID: 1202, Cost: 2)
Upward Edge from 221 to 232 (ID: 1249, Cost: 2)
Upward Edge from 221 to 172 (ID: 1204, Cost: 2)
Upward Edge from 222 to 255 (ID: 534, Cost: 1)
Upward Edge from 222 to 196 (ID: 461, Cost: 1)
Upward Edge from 223 to 250 (ID: 536, Cost: 1)
Upward Edge from 223 to 197 (ID: 463, Cost: 1)
Upward Edge from 224 to 251 (ID: 538, Cost: 1)
Upward Edge from 224 to 197 (ID: 465, Cost: 1)
Upward Edge from 225 to 129 (ID: 1487, Cost: 4)
Upward Edge from 226 to 132 (ID: 1489, Cost: 4)
Upward Edge from 226 to 202 (ID: 1228, Cost: 2)
Upward Edge from 227 to 256 (ID: 542, Cost: 1)
Upward Edge from 227 to 202 (ID: 473, Cost: 1)
Upward Edge from 228 to 226 (ID: 541, Cost: 1)
Upward Edge from 228 to 202 (ID: 475, Cost: 1)
Upward Edge from 229 to 179 (ID: 1212, Cost: 2)
Upward Edge from 229 to 256 (ID: 544, Cost: 1)
Upward Edge from 230 to 204 (ID: 479, Cost: 1)
Upward Edge from 231 to 234 (ID: 546, Cost: 1)
Upward Edge from 231 to 204 (ID: 481, Cost: 1)
Upward Edge from 232 to 172 (ID: 1508, Cost: 4)
Upward Edge from 232 to 277 (ID: 1251, Cost: 2)
Upward Edge from 232 to 205 (ID: 483, Cost: 1)
Upward Edge from 233 to 345 (ID: 1711, Cost: 5)
Upward Edge from 233 to 260 (ID: 1520, Cost: 3)
Upward Edge from 233 to 205 (ID: 485, Cost: 1)
Upward Edge from 234 to 179 (ID: 1498, Cost: 3)
Upward Edge from 234 to 206 (ID: 487, Cost: 1)
Upward Edge from 235 to 260 (ID: 556, Cost: 1)
Upward Edge from 235 to 206 (ID: 489, Cost: 1)
Upward Edge from 236 to 261 (ID: 558, Cost: 1)
Upward Edge from 236 to 206 (ID: 491, Cost: 1)
Upward Edge from 237 to 306 (ID: 1515, Cost: 3)
Upward Edge from 237 to 137 (ID: 1494, Cost: 4)
Upward Edge from 238 to 309 (ID: 1720, Cost: 3)
Upward Edge from 238 to 269 (ID: 1719, Cost: 4)
Upward Edge from 238 to 357 (ID: 1717, Cost: 8)
Upward Edge from 238 to 138 (ID: 1633, Cost: 4)
Upward Edge from 239 to 266 (ID: 568, Cost: 1)
Upward Edge from 239 to 208 (ID: 497, Cost: 1)
Upward Edge from 240 to 210 (ID: 499, Cost: 1)
Upward Edge from 241 to 187 (ID: 1644, Cost: 3)
Upward Edge from 241 to 269 (ID: 1643, Cost: 3)
Upward Edge from 241 to 138 (ID: 1623, Cost: 4)
Upward Edge from 242 to 211 (ID: 503, Cost: 1)
Upward Edge from 243 to 211 (ID: 505, Cost: 1)
Upward Edge from 244 to 268 (ID: 574, Cost: 1)
Upward Edge from 244 to 212 (ID: 507, Cost: 1)
Upward Edge from 245 to 269 (ID: 576, Cost: 1)
Upward Edge from 245 to 212 (ID: 509, Cost: 1)
